YEAR,WASHINGTON,US
1929,740,700
1930,657,621
1931,534,529
1932,402,403
1933,376,376
1934,442,428
1935,491,478
1936,570,540
1937,601,579
1938,583,532
1939,618,562
1940,667,601
1941,885,734
1942,1233,940
1943,1507,1142
1944,1557,1226
1945,1452,1256
1946,1432,1291
1947,1531,1349
1948,1678,1456
1949,1656,1415
1950,1797,1541
1951,1955,1713
1952,2063,1800
1953,2168,1875
1954,2183,1861
1955,2222,1961
1956,2277,2068
1957,2371,2149
1958,2376,2176
1959,2480,2274
1960,2539,2335
1961,2640,2398
1962,2788,2513
1963,2841,2603
1964,2968,2752
1965,3190,2936
1966,3498,3155
1967,3689,3350
1968,3986,3641
1969,4258,3948
1970,4400,4218
1971,4595,4491
1972,4955,4880
1973,5532,5383
1974,6152,5852
1975,6831,6340
1976,7424,6890
1977,8062,7532
1978,9101,8371
1979,10156,9252
1980,11130,10204
1981,12133,11326
1982,12769,12021
1983,13553,12721
1984,14373,13929
1985,15085,14779
1986,15917,15510
1987,16556,16313
1988,17613,17479
1989,19028,18698
1990,20222,19641
1991,21129,20056
1992,22237,21099
1993,22860,21738
1994,23600,22574
1995,24475,23600
1996,25898,24762
1997,27405,25984
1998,29513,27545
1999,30958,28665
2000,32723,30651
2001,33084,31599
2002,33212,31814
2003,34253,32683
2004,36378,34250
2005,37384,35828
2006,40027,38099
2007,42819,39846
2008,44241,40971
2009,41591,39319
2010,42348,40649
2011,44225,42714
2012,47320,44529
2013,47857,44761
2014,50890,46860
2015,53083,48695
2016,54918,49589
2017,57265,51520
2018,60221,53784
2019,64189,56237
2020,68304,59774
2021,73755,64073
2022,75698,65280
